,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
0,0,258.4390243902439,139.61447789905023,41.0,0.40244574553972645,0.06855331831612836,41.0,305.0487804878049,162.75886323323724,41.0,0.5263584142377663,0.06916160515541019,39.0,-0.28525269303100326,1.6032688551255632,38.0,-0.42805053149113065,1.2976381569892297,38.0,-0.2922807044837029,1.536849866667592,38.0,-0.2584172427459953,1.0238426686062692,36.0
1,AAC1,244.41666666666666,27.642057328160895,12.0,0.434679695189633,0.03727591290041811,12.0,262.5,30.20385285477214,12.0,0.5488404674291356,0.03314082995195376,12.0,0.5914903409947544,0.4680493712833867,12.0,0.3177719398998511,0.6297946562574772,12.0,0.5380779567126863,0.45836030914944376,12.0,0.27694269919293685,0.315547168469344,12.0
2,AAC3,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3,AAD3,216.0,38.48376280978771,11.0,0.446611660120752,0.03222943197808961,8.0,231.63636363636363,50.933825160246364,11.0,0.5389120600666734,0.03725254474804314,10.0,0.12878107342478498,0.6593174350668949,11.0,0.02708186668979827,0.5104915878300328,8.0,0.0972548835038529,0.7313503967281075,11.0,0.02057323969193552,0.4619599344883043,10.0
4,AAD4,195.3,13.532265967760983,10.0,0.4204031242626712,0.05418426050974028,11.0,215.5,14.346892811104897,10.0,0.548395358682572,0.0341304492729482,11.0,-0.27082011517797755,0.20931930364614554,10.0,0.04547531795963198,0.5162991031409022,11.0,-0.19932985295200784,0.21263529021376193,10.0,0.27369445896953254,0.375096874660133,11.0
5,AAD6,229.08333333333334,34.17191386167443,12.0,0.43597140599576195,0.03803069601330784,11.0,245.75,31.525242411294936,12.0,0.5487936765809849,0.04352261456212775,12.0,0.307659734445575,0.5734295599507385,12.0,0.15617528445548176,0.6474273807890532,11.0,0.28786178691054,0.5236194904081329,12.0,0.20868163597936065,0.5666914853712696,12.0
6,AAH1,212.14285714285714,52.73338149416861,7.0,0.41940008803534584,0.03991297697465231,7.0,245.0,51.581650484127266,7.0,0.5056004092514959,0.05516607759727418,7.0,0.012018730718748998,0.8196940421798999,7.0,-0.2623072410086506,0.3812216048163752,7.0,0.03771505624152068,0.7439372576300233,7.0,-0.36169568839265437,0.4054370753171703,7.0
7,AAP1,220.54545454545453,38.2788809563802,11.0,0.3613010864478978,0.05876275228577,11.0,246.8,39.94941245569896,10.0,0.5006722291703157,0.06413540047462533,11.0,0.13077408769935167,0.783467537864965,11.0,-0.8483705067183592,1.171515890805289,11.0,0.0992571086967144,0.7108354067219184,11.0,-0.7213526468753375,1.6853374258880705,11.0
8,AAT1,204.85714285714286,28.115408417381925,7.0,0.4894267851234077,0.026545485697548277,7.0,234.5,32.150686877058575,4.0,0.5762120480424003,0.02133620909212816,6.0,-0.1234193446153239,0.5801971488093972,7.0,1.0046057285707857,0.37517883860413964,7.0,-0.43551486264014144,0.41911834763459327,7.0,0.8393718384044985,0.3781083602186187,7.0
9,AAT2,231.0,30.62678566222711,8.0,0.4476342949471795,0.03780894676795858,7.0,252.0,27.738575511885454,8.0,0.5415401715263554,0.047202638724735436,7.0,0.42517559304599944,0.49659102394306887,8.0,0.09646852983953572,0.3793703469306452,7.0,0.4563016344034707,0.5647155179373877,8.0,0.21445869230585693,0.2695341977803461,7.0
10,ABF2,187.41666666666666,28.140744751188002,12.0,0.5664230078783627,0.03460363381021376,11.0,177.91666666666666,27.16434271524925,12.0,0.5917021281705214,0.01571602081997602,12.0,-0.5121245303681871,0.39730012512895224,12.0,2.6033568247034515,0.43897329564602955,12.0,-1.036156934135047,0.3980647912793518,12.0,1.2481998325497086,0.33209431316748744,11.0
11,ABM1,231.1818181818182,31.073519857969682,11.0,0.44008633123954266,0.057018066161485914,11.0,248.54545454545453,29.635666472558487,11.0,0.5543087088711081,0.04995450809761789,11.0,0.3818187155386683,0.5876841779182979,11.0,0.4098738001185162,0.44263732535322176,10.0,0.36647346758493815,0.5060702559346542,11.0,0.36351004774184065,0.527156181837893,11.0
12,ABP1,265.0,18.24524291120534,10.0,0.45890101933329974,0.04927725861525496,11.0,285.6,19.523205565571338,10.0,0.5762142978903293,0.032411777909276546,11.0,0.8312744248239698,0.4052952007489138,11.0,0.7358603062452771,0.3748615698866399,10.0,0.7966431479452833,0.4032265558689705,11.0,0.7760846518483604,0.3462188427297607,11.0
