,gene,area_mean,area_std,area_count,mean_intensity_mean,mean_intensity_std,mean_intensity_count,corrected_area_mean,corrected_area_std,corrected_area_count,corrected_mean_intensity_mean,corrected_mean_intensity_std,corrected_mean_intensity_count,area_Z_mean,area_Z_std,area_Z_count,mean_intensity_Z_mean,mean_intensity_Z_std,mean_intensity_Z_count,corrected_area_Z_mean,corrected_area_Z_std,corrected_area_Z_count,corrected_mean_intensity_Z_mean,corrected_mean_intensity_Z_std,corrected_mean_intensity_Z_count
0,0,291.70588235294116,197.8230790080755,17.0,0.41384358909565055,0.09007820543200971,17.0,192.43335905024372,115.67017381705615,16.0,0.4296876938820484,0.09401091782985277,16.0,-1.0449157878825003e-16,0.9999999999999999,17.0,-1.2081838797391408e-16,0.9999999999999999,17.0,-2.706168622523819e-16,1.0,16.0,9.71445146547012e-17,1.0,16.0
1,AAC1,240.5,35.874782229304195,4.0,0.4543818831957767,0.02240299292244925,4.0,232.1069628663054,38.87466311958258,4.0,0.48128750248773106,0.03235957280525365,4.0,-2.7755575615628914e-17,0.9999999999999999,4.0,-6.661338147750939e-16,1.0,4.0,1.734723475976807e-18,1.0,4.0,3.885780586188048e-16,1.0,4.0
2,AAC3,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3,AAD3,216.5,12.609520212918493,4.0,0.4557077192742773,0.021594084477300827,4.0,215.3117135603759,18.06237284927362,4.0,0.48480488903676505,0.01487443342690714,4.0,0.0,1.0,4.0,6.522560269672795e-16,0.9999999999999999,4.0,7.91033905045424e-16,1.0,4.0,3.733124920302089e-15,1.0,4.0
4,AAD4,196.0,5.5677643628300215,3.0,0.48212473039129905,0.020970939389241994,3.0,,,0.0,0.4992012233032386,0.021585082859641176,3.0,0.0,1.0,3.0,-8.696747026230393e-16,1.0,3.0,5.921189464667501e-16,1.0,3.0,2.5905203907920318e-15,1.0,3.0
5,AAD6,229.75,18.463928798245153,4.0,0.4562821580845955,0.02295849833638117,4.0,230.55306770730738,17.064136664824662,4.0,0.46474034502546474,0.02492644130686614,4.0,-2.7755575615628914e-17,0.9999999999999999,4.0,0.0,1.0,4.0,-4.163336342344337e-16,0.9999999999999999,4.0,-1.6653345369377348e-15,1.0,4.0
6,AAH1,229.0,86.0,3.0,0.44941828823298974,0.03609568442031231,3.0,224.4577959680537,75.88453035101341,3.0,0.4675345035361107,0.025341689583822696,3.0,0.0,1.0,3.0,0.0,0.9999999999999999,3.0,-2.7755575615628914e-17,1.0,3.0,-2.1834386150961413e-15,1.0,3.0
7,AAP1,201.75,32.06633748964793,4.0,0.3520968606514008,0.06935914071959591,4.0,185.7059284525441,31.356409977509728,4.0,0.36533871528150036,0.08114851193236555,4.0,-2.7755575615628914e-17,0.9999999999999999,4.0,-2.220446049250313e-16,1.0,4.0,7.042977312465837e-16,1.0,4.0,1.942890293094024e-16,1.0,4.0
8,AAT1,192.33333333333334,20.550750189064466,3.0,0.5068524711463632,0.016840249155270763,3.0,176.18785009771065,17.030830033329423,3.0,0.5376032520045406,0.018078153194858865,3.0,4.440892098500626e-16,1.0,3.0,2.146431180941969e-15,1.0,3.0,1.0917193075480707e-15,0.9999999999999999,3.0,-2.0354088784794535e-15,1.0,3.0
9,AAT2,252.75,29.82588361362214,4.0,0.4865836455563635,0.006658955857748056,3.0,249.31313315171388,29.439848359589316,4.0,0.5009956336064921,0.006495818255847794,3.0,0.0,1.0,4.0,-4.163336342344337e-16,1.0,4.0,2.220446049250313e-16,1.0,4.0,-4.996003610813204e-16,1.0,4.0
10,ABF2,197.75,44.32738055273136,4.0,0.5790714198878072,0.0004487953683760942,3.0,187.99123539850206,31.521787805912673,4.0,0.6109454260925772,0.020495552905889728,4.0,-2.7755575615628914e-17,1.0,4.0,-4.3298697960381105e-15,1.0,4.0,2.220446049250313e-16,1.0,4.0,0.0,1.0,4.0
11,ABM1,235.75,19.311050377094112,4.0,0.4863857926901797,0.016482489205795904,4.0,229.73052273781485,18.457024345084392,4.0,0.5005300975764335,0.015608247968906365,4.0,0.0,1.0,4.0,3.3514857555871913e-15,1.0,4.0,-4.440892098500626e-16,1.0,4.0,-1.7832957333041577e-15,1.0,4.0
12,ABP1,262.25,22.47035083541569,4.0,0.48779862075010805,0.009342928214735964,4.0,250.47143611811353,30.125271528760805,4.0,0.5042224537157742,0.007389734363975268,4.0,-2.7755575615628914e-17,1.0,4.0,-5.9396931817445875e-15,1.0,4.0,-4.996003610813204e-16,1.0,4.0,-1.887379141862766e-15,0.9999999999999999,4.0
13,ABP140,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
14,ABZ1,299.0,89.92589541765301,4.0,0.473649199442178,0.022773321512127485,4.0,264.12278287126395,72.75886291363119,4.0,0.48936126341063735,0.01750714919447373,4.0,5.551115123125783e-17,1.0,4.0,1.2212453270876722e-15,0.9999999999999999,4.0,-8.326672684688674e-17,1.0,4.0,-1.3877787807814457e-17,1.0,4.0
15,ABZ2,221.75,8.098353742170898,4.0,0.4749767966542262,0.012124808959513237,4.0,217.04532320634746,8.206862439190113,4.0,0.4828769663761679,0.012459766389579895,4.0,0.0,1.0,4.0,-3.427813588530171e-15,1.0,4.0,-8.326672684688674e-16,0.9999999999999999,4.0,1.132774429812855e-15,1.0,4.0
16,ACA1,295.25,11.87083260208258,4.0,0.4835912553334133,0.029778757501054225,4.0,295.8598381644264,11.839476106075518,4.0,0.4919532669106849,0.030893823800921594,4.0,-1.0408340855860843e-17,1.0,4.0,-4.718447854656915e-16,0.9999999999999999,4.0,1.2073675392798577e-15,1.0,4.0,-4.579669976578771e-16,1.0,4.0
17,ACB1,152.0,20.346989949375804,4.0,0.41058185636959066,0.06494996707368864,4.0,128.553895644225,20.095270168005754,4.0,0.4372233373948705,0.05547016520222945,4.0,0.0,1.0,4.0,-4.579669976578771e-16,1.0,4.0,-6.938893903907228e-16,1.0,4.0,-7.771561172376096e-16,1.0,4.0
