,gene,SC_Resuspended_OD600_mean,SC_Resuspended_OD600_std,SC_Resuspended_OD600_count,SC_Resuspended_Fluo1_mean,SC_Resuspended_Fluo1_std,SC_Resuspended_Fluo1_count,SC_Resuspended_Fluo2_mean,SC_Resuspended_Fluo2_std,SC_Resuspended_Fluo2_count,SC_Resuspended_Fluo3_mean,SC_Resuspended_Fluo3_std,SC_Resuspended_Fluo3_count,SC_Supernatant_OD600_mean,SC_Supernatant_OD600_std,SC_Supernatant_OD600_count,SC_Supernatant_Fluo1_mean,SC_Supernatant_Fluo1_std,SC_Supernatant_Fluo1_count,SC_Supernatant_Fluo2_mean,SC_Supernatant_Fluo2_std,SC_Supernatant_Fluo2_count,SC_Supernatant_Fluo3_mean,SC_Supernatant_Fluo3_std,SC_Supernatant_Fluo3_count,YPD_Resuspended_OD600_mean,YPD_Resuspended_OD600_std,YPD_Resuspended_OD600_count,YPD_Resuspended_Fluo1_mean,YPD_Resuspended_Fluo1_std,YPD_Resuspended_Fluo1_count,YPD_Resuspended_Fluo2_mean,YPD_Resuspended_Fluo2_std,YPD_Resuspended_Fluo2_count,YPD_Resuspended_Fluo3_mean,YPD_Resuspended_Fluo3_std,YPD_Resuspended_Fluo3_count,YPD_Supernatant_OD600_mean,YPD_Supernatant_OD600_std,YPD_Supernatant_OD600_count,YPD_Supernatant_Fluo1_mean,YPD_Supernatant_Fluo1_std,YPD_Supernatant_Fluo1_count,YPD_Supernatant_Fluo2_mean,YPD_Supernatant_Fluo2_std,YPD_Supernatant_Fluo2_count,YPD_Supernatant_Fluo3_mean,YPD_Supernatant_Fluo3_std,YPD_Supernatant_Fluo3_count
0,DLD2,1.2158,0.012691729590564100,3.0,48597.0,3278.60900383074,3.0,26806.666666666700,1988.138911981090,3.0,324.3333333333330,25.774664562964400,3.0,0.044433333333333300,0.0008326663997864530,3.0,33379.0,1966.151825266810,3.0,18388.666666666700,1106.7864894971100,3.0,208.0,21.93171219946130,3.0,2.1803000000000000,0.18057153707049200,3.0,,,0.0,60724.333333333300,25789.37623001640,3.0,755.3333333333330,312.60571545212200,3.0,0.08056666666666670,0.0013316656236958800,3.0,,,0.0,71323.5,7271.179030941270,2.0,1211.3333333333300,475.74608073355000,3.0
1,KGD2,1.2519,0.01256940730504020,3.0,38581.0,2430.104318748480,3.0,20984.0,1490.1520056692200,3.0,243.33333333333300,14.047538337137000,3.0,0.043866666666666700,0.00028867513459481200,3.0,28910.666666666700,1484.6697724859000,3.0,15479.333333333300,956.947926134611,3.0,178.33333333333300,7.371114795831990,3.0,1.5245333333333300,0.06012997034202930,3.0,,,0.0,67166.0,7035.34995575913,3.0,840.3333333333330,109.46384486821800,3.0,0.05933333333333330,0.0008082903768654720,3.0,,,0.0,92680.5,4265.975210898440,2.0,1203.3333333333300,88.91756481895650,3.0
2,MIP1,1.2945,0.024215490909746200,3.0,54848.0,3508.7651674057600,3.0,30653.333333333300,2284.0423230171000,3.0,396.0,27.622454633866300,3.0,0.04563333333333330,0.0009018499505645790,3.0,37628.666666666700,3902.6993649695000,3.0,21487.333333333300,2641.7192003188600,3.0,273.3333333333330,49.66219219218310,3.0,2.187,0.06788276659064490,3.0,,,0.0,54504.333333333300,6777.158131055620,3.0,656.6666666666670,57.274194305405400,3.0,0.08093333333333330,0.007921068951431580,3.0,,,0.0,83556.66666666670,10222.71687631690,3.0,1009.6666666666700,121.98907054869000,3.0
3,RCR2,1.2931333333333300,0.024436925611323000,3.0,45844.0,6763.003992309930,3.0,25403.666666666700,4045.646837445570,3.0,325.0,57.262553208881600,3.0,0.04613333333333330,0.0027465129406819400,3.0,34356.0,5348.101812793020,3.0,19151.333333333300,3315.440443339820,3.0,234.33333333333300,79.39983207370990,3.0,2.1823,0.05305968337636380,3.0,,,0.0,58566.0,17882.730496207800,2.0,954.6666666666670,358.88206047855500,3.0,0.09516666666666670,0.002867635495200410,3.0,,,0.0,70685.0,,1.0,1384.0,495.036362300791,3.0
4,SGM1,1.2908333333333300,0.02267186214966330,3.0,53968.666666666700,5854.309552230160,3.0,30306.0,3760.043084859530,3.0,378.6666666666670,38.279672586548200,3.0,0.0461,0.0011269427669584600,3.0,36958.666666666700,3969.037708731590,3.0,20765.333333333300,2995.6519045665700,3.0,244.66666666666700,18.0092568789868,3.0,2.1442333333333300,0.04483261461629600,3.0,,,0.0,44576.0,,1.0,1138.6666666666700,523.933519955856,3.0,0.11566666666666700,0.0179372052821317,3.0,,,0.0,65938.0,,1.0,1568.0,686.0255097297770,3.0
5,SHY1,1.2433333333333300,0.0028536526301099300,3.0,51034.666666666700,2315.639508501560,3.0,28462.333333333300,1170.1646607778500,3.0,370.3333333333330,18.770544300401400,3.0,0.04526666666666670,0.0007505553499465140,3.0,36291.666666666700,2727.373156231710,3.0,20704.333333333300,1755.5638220621100,3.0,246.0,26.153393661244000,3.0,2.2040333333333300,0.035034601943412100,3.0,,,0.0,49775.5,3889.794403307200,2.0,906.6666666666670,530.3360569802260,3.0,0.09833333333333330,0.03773384864194660,3.0,,,0.0,75909.0,7421.792775334000,2.0,1376.3333333333300,701.1806709638630,3.0
6,VPS34,1.1070333333333300,0.015738593753361000,3.0,27936.333333333300,275.2895445405310,3.0,13192.666666666700,217.3070024949340,3.0,162.33333333333300,13.576941236277500,3.0,0.043666666666666700,0.00410040648391514,3.0,27446.666666666700,1387.4416504247400,3.0,12043.0,624.7911651103910,3.0,169.66666666666700,17.925772879665000,3.0,1.3242333333333300,0.3153809971024470,3.0,86016.0,,1.0,47445.0,15232.653774047400,3.0,574.3333333333330,161.7106469387010,3.0,0.0655,0.004875448697299560,3.0,,,0.0,65193.0,15322.068039269400,3.0,786.6666666666670,192.59889234710900,3.0
7,YER084W,1.1915666666666700,0.019397508431067600,3.0,64155.666666666700,2136.970129256220,3.0,35711.666666666700,937.9319449370170,3.0,452.0,16.0,3.0,0.04646666666666670,0.0015567059238447500,3.0,48746.333333333300,1265.5750998393300,3.0,27140.0,695.3013735064820,3.0,358.3333333333330,30.088757590391400,3.0,2.2049333333333300,0.00977565002101317,3.0,,,0.0,56474.333333333300,14166.337576569800,3.0,727.0,191.2511437874290,3.0,0.0981,0.014077997016621400,3.0,,,0.0,70118.5,6179.406160789240,2.0,1025.0,262.5433297572040,3.0
8,COX12,1.2194333333333300,0.028974183911429300,3.0,69026.66666666670,1369.7898865641100,3.0,38380.0,580.0310336525110,3.0,494.0,14.422205101856000,3.0,0.044500000000000000,0.001081665382639200,3.0,43151.666666666700,1896.8843753200500,3.0,23993.0,1080.5031235494000,3.0,275.3333333333330,33.26158945891390,3.0,1.8046,0.003223352292257230,3.0,92395.0,678.3538899424110,3.0,35515.0,1071.7742299570400,3.0,456.6666666666670,13.503086067019400,3.0,0.07046666666666670,0.0067825757152672700,3.0,,,0.0,55116.333333333300,1188.2025640998000,3.0,659.6666666666670,18.770544300401500,3.0
9,NO BTX CONTROL,1.3041666666666700,0.013467491723900600,3.0,8311.666666666670,81.85556385080600,3.0,2819.6666666666700,75.74518686578930,3.0,43.666666666666700,34.07834111768550,3.0,0.04753333333333330,0.007254194189111110,3.0,10044.333333333300,325.948359918152,3.0,3293.3333333333300,97.00171819784080,3.0,11.666666666666700,11.060440015358000,3.0,2.0633,0.0961736450385447,3.0,86247.33333333330,5194.92852052204,3.0,29356.333333333300,1750.0006666665400,3.0,327.6666666666670,14.047538337137000,3.0,0.09243333333333330,0.010075878787149700,3.0,,,0.0,48689.0,3332.7202102786800,3.0,625.0,73.01369734508720,3.0
