,gene,plate,row,column,SC_Resuspended_OD600,SC_Resuspended_Fluo1,SC_Resuspended_Fluo2,SC_Resuspended_Fluo3,SC_Supernatant_OD600,SC_Supernatant_Fluo1,SC_Supernatant_Fluo2,SC_Supernatant_Fluo3,YPD_Resuspended_OD600,YPD_Resuspended_Fluo1,YPD_Resuspended_Fluo2,YPD_Resuspended_Fluo3,YPD_Supernatant_OD600,YPD_Supernatant_Fluo1,YPD_Supernatant_Fluo2,YPD_Supernatant_Fluo3,gene_name
1,Sc_BTX51,0,0,1,1.2716,45601.0,25016.0,344.0,0.0444,33554.0,18858.0,203.0,2.1926,,85071.0,1075.0,0.0883,,,1627.0,QCR10
2,Sc_BTX14,0,0,2,1.118,27802.0,12969.0,164.0,0.0414,28216.0,12341.0,181.0,1.6877,86016.0,29906.0,388.0,0.0711,,47788.0,569.0,VPS34
3,Sc_BTX30,0,0,3,1.2724,48630.0,26501.0,356.0,0.0458,35701.0,19558.0,230.0,2.1763,,67434.0,807.0,0.0904,,,1297.0,YCR101C
4,Sc_BTX28,0,0,4,1.2671,54291.0,30164.0,369.0,0.0457,36672.0,20885.0,274.0,2.2941,,59272.0,754.0,0.0922,,88958.0,1101.0,PRY1
5,Sc_BTX53,0,0,5,1.2669,88628.0,50791.0,588.0,0.0519,69424.0,40144.0,486.0,1.8287,,,1505.0,0.101,,,2296.0,UBC7
9,Sc_BTX53,0,0,9,1.2479,82639.0,47183.0,617.0,0.0495,68203.0,38717.0,499.0,2.2035,,70625.0,826.0,0.0885,,,1301.0,UBC7
10,Sc_BTX13,0,0,10,1.2435,51895.0,28757.0,392.0,0.046,38426.0,22096.0,276.0,2.2427,,47025.0,594.0,0.076,,70661.0,904.0,SHY1
12,Sc_BTX55,0,1,0,1.2733,45185.0,23971.0,283.0,0.0455,38101.0,19570.0,232.0,1.8094,,56059.0,727.0,0.0725,,91433.0,1149.0,RPN4
15,Sc_BTX25,0,1,3,1.1137,54871.0,30353.0,326.0,0.0463,44888.0,24906.0,309.0,1.3809,,60179.0,796.0,0.0663,,84713.0,1087.0,VMA16
16,Sc_BTX52,0,1,4,1.2495,95576.0,53889.0,708.0,0.0523,64216.0,38276.0,491.0,2.2159,,67719.0,845.0,0.1118,,,1248.0,SSM4
19,Sc_BTX16,0,1,7,1.1742,62951.0,35044.0,468.0,0.0463,47295.0,26540.0,339.0,2.2162,,51854.0,654.0,0.0939,,74488.0,972.0,YER084W
21,Sc_BTX29,0,1,9,1.2378,64025.0,35774.0,452.0,0.0461,42706.0,24706.0,271.0,2.2275,98200.0,41306.0,547.0,0.0891,,65048.0,821.0,STV1
23,Sc_BTX22,0,1,11,1.2067,23555.0,11985.0,172.0,0.0428,19000.0,9203.0,99.0,2.0102,,97655.0,1220.0,0.057,,,1886.0,HEM25
26,Sc_BTX27,0,2,2,1.25,69132.0,38811.0,417.0,0.0469,48567.0,27957.0,320.0,2.1134,,,1406.0,0.0956,,,1895.0,GET4
27,Sc_BTX11,0,2,3,1.2749,49061.0,27357.0,390.0,0.0453,34788.0,19596.0,187.0,2.1211,,,1335.0,0.0948,,,1900.0,RCR2
30,Sc_BTX31,0,2,6,1.2801,48924.0,27503.0,347.0,0.0441,30723.0,17091.0,210.0,2.1288,,,1660.0,0.1619,,,2149.0,YLR271W
31,Sc_BTX07,0,2,7,1.2304,44824.0,24511.0,301.0,0.0451,31168.0,17163.0,199.0,1.9739,,90282.0,1115.0,0.0821,,,1747.0,DLD2
32,Sc_BTX12,0,2,8,1.2649,56235.0,31186.0,390.0,0.0455,36123.0,20355.0,224.0,2.1078,,,1571.0,0.1295,,,2082.0,SGM1
33,Sc_BTX18,0,2,9,1.1949,69826.0,38884.0,482.0,0.0442,41732.0,23164.0,250.0,1.8024,92945.0,35895.0,457.0,0.0776,,55217.0,671.0,COX12
34,Sc_BTX22,0,2,10,1.2254,23185.0,11514.0,114.0,0.0414,16907.0,7916.0,119.0,2.1769,77635.0,28192.0,406.0,0.0924,,44866.0,606.0,HEM25
35,Sc_BTX18,0,2,11,1.212,67445.0,37746.0,490.0,0.0436,42417.0,23600.0,313.0,1.8031,91637.0,34305.0,470.0,0.0697,,53881.0,638.0,COX12
36,Sc_BTX21,0,3,0,1.2608,25364.0,13202.0,187.0,0.045,22299.0,11118.0,161.0,2.1945,,95979.0,1169.0,0.0859,,,1871.0,BTX WT CONTROL
37,Sc_BTX55,0,3,1,1.2579,72547.0,40318.0,489.0,0.0471,47714.0,26310.0,305.0,2.1984,,82346.0,1017.0,0.11,,,1534.0,RPN4
38,Sc_BTX14,0,3,2,1.1141,28253.0,13403.0,175.0,0.0412,25845.0,11325.0,149.0,1.1621,,57364.0,657.0,0.0622,,76646.0,935.0,VPS34
39,Sc_BTX13,0,3,3,1.2404,48412.0,27173.0,359.0,0.0445,33219.0,18732.0,228.0,2.195,,,1519.0,0.1419,,,2182.0,SHY1
40,Sc_BTX07,0,3,4,1.2074,50214.0,27943.0,320.0,0.0447,34038.0,18688.0,233.0,2.3091,,49084.0,602.0,0.0799,,76465.0,1049.0,DLD2
41,Sc_BTX25,0,3,5,1.1171,53981.0,29992.0,353.0,0.0439,49751.0,27702.0,342.0,1.8788,,53994.0,646.0,0.0803,,86789.0,1096.0,VMA16
42,Sc_BTX31,0,3,6,1.2697,39385.0,21471.0,292.0,0.0438,26589.0,14129.0,179.0,2.1823,,58234.0,742.0,0.133,,87869.0,1113.0,YLR271W
43,Sc_BTX28,0,3,7,1.2384,54915.0,31137.0,399.0,0.0452,35120.0,19603.0,284.0,2.2564,,49213.0,595.0,0.0799,,74158.0,918.0,PRY1
44,Sc_BTX09,0,3,8,1.2698,51032.0,28114.0,374.0,0.0447,33139.0,18465.0,216.0,2.2647,,47033.0,592.0,0.072,,72868.0,877.0,MIP1
45,Sc_BTX21,0,3,9,1.2285,42321.0,23066.0,307.0,0.0437,31471.0,17103.0,204.0,2.1938,,52446.0,648.0,0.1185,,82600.0,1026.0,BTX WT CONTROL
46,Sc_BTX07,0,3,10,1.2096,50753.0,27966.0,352.0,0.0435,34931.0,19315.0,192.0,2.2579,,42807.0,549.0,0.0797,,66182.0,838.0,DLD2
47,Sc_BTX32,0,3,11,1.2877,66562.0,37285.0,481.0,0.0468,47108.0,26875.0,291.0,2.3485,,75513.0,908.0,0.0755,,,1382.0,GLR1
48,Sc_BTX20,0,4,0,1.3193,8283.0,2735.0,83.0,0.0437,9979.0,3294.0,0.0,2.1406,90582.0,30886.0,341.0,0.1029,,51981.0,704.0,NO BTX CONTROL
49,Sc_BTX29,0,4,1,1.2496,40995.0,22361.0,268.0,0.0446,31046.0,16601.0,263.0,2.2001,,,1344.0,0.1451,,,1791.0,STV1
51,Sc_BTX32,0,4,3,1.2843,58066.0,32700.0,385.0,0.0452,40109.0,22898.0,292.0,2.3155,,85175.0,1035.0,0.1016,,,1584.0,GLR1
52,Sc_BTX29,0,4,4,1.2434,52625.0,29482.0,333.0,0.0455,37122.0,20476.0,215.0,2.0661,,86474.0,1071.0,0.1192,,,1691.0,STV1
53,Sc_BTX22,0,4,5,1.2037,24153.0,12531.0,171.0,0.043,18364.0,8811.0,94.0,2.2286,79269.0,29139.0,360.0,0.1034,,46413.0,519.0,HEM25
54,Sc_BTX14,0,4,6,1.089,27754.0,13206.0,148.0,0.0484,28279.0,12463.0,179.0,1.1229,,55065.0,678.0,0.0632,,71145.0,856.0,VPS34
55,Sc_BTX21,0,4,7,1.2376,37156.0,20665.0,290.0,0.0444,29283.0,16044.0,216.0,2.2001,,44280.0,609.0,0.0787,,67273.0,783.0,BTX WT CONTROL
56,Sc_BTX13,0,4,8,1.2461,52797.0,29457.0,360.0,0.0453,37230.0,21285.0,234.0,2.1744,,52526.0,607.0,0.0771,,81157.0,1043.0,SHY1
58,Sc_BTX16,0,4,10,1.188,62893.0,35307.0,436.0,0.045,49324.0,26978.0,343.0,2.1987,,45195.0,583.0,0.1138,,65749.0,793.0,YER084W
59,Sc_BTX08,0,4,11,1.2616,38555.0,21065.0,230.0,0.0437,29225.0,15646.0,170.0,1.4616,,73913.0,934.0,0.0602,,,1306.0,KGD2
62,Sc_BTX11,0,5,2,1.2836,38073.0,20752.0,282.0,0.0439,28805.0,15636.0,190.0,2.2154,,45921.0,622.0,0.0925,,70685.0,913.0,RCR2
64,Sc_BTX52,0,5,4,1.3034,98385.0,56792.0,688.0,0.0549,68160.0,40551.0,544.0,2.1279,,,2041.0,0.1203,,,2653.0,SSM4
65,Sc_BTX09,0,5,5,1.3182,57935.0,32540.0,427.0,0.0465,40210.0,23356.0,301.0,2.1571,,60256.0,701.0,0.0871,,93239.0,1117.0,MIP1
66,Sc_BTX24,0,5,6,1.1098,48748.0,25808.0,333.0,0.0439,39980.0,20519.0,266.0,2.2269,,42959.0,487.0,0.0847,,66618.0,800.0,PRO2
67,Sc_BTX20,0,5,7,1.2935,8248.0,2843.0,25.0,0.043,9756.0,3196.0,22.0,1.9556,87671.0,29735.0,313.0,0.0828,,48769.0,611.0,NO BTX CONTROL
69,Sc_BTX28,0,5,9,1.2679,56247.0,31208.0,368.0,0.0448,38208.0,21658.0,225.0,2.2324,,53173.0,675.0,0.0804,,79941.0,976.0,PRY1
70,Sc_BTX30,0,5,10,1.3149,39786.0,21510.0,231.0,0.045,31278.0,16962.0,218.0,2.2211,,67424.0,815.0,0.1156,,,1257.0,YCR101C
71,Sc_BTX51,0,5,11,1.2773,51332.0,28732.0,337.0,0.0448,38129.0,21125.0,271.0,1.9589,,,2259.0,0.1275,,,2801.0,QCR10
72,Sc_BTX55,0,6,0,1.2667,53653.0,29329.0,389.0,0.0453,41829.0,22269.0,274.0,2.1452,,91721.0,1132.0,0.119,,,1671.0,RPN4
73,Sc_BTX31,0,6,1,1.2693,38496.0,21043.0,278.0,0.044,30248.0,16254.0,185.0,2.2513,,45794.0,570.0,0.0813,,71447.0,943.0,YLR271W
74,Sc_BTX08,0,6,2,1.2377,36164.0,19455.0,258.0,0.0437,27294.0,14450.0,184.0,1.5814,,59874.0,720.0,0.0586,,89664.0,1153.0,KGD2
75,Sc_BTX53,0,6,3,1.2216,82467.0,47448.0,539.0,0.0496,65346.0,37637.0,554.0,1.8684,,,1780.0,0.0907,,,2351.0,UBC7
