,gene,plate,row,column,area.24,mean_intensity.24,area.48,mean_intensity.48
0,ScBTX020,0,0,0,2768.0,0.4172401576217896,2936.0,0.1489979069931053
1,ScBTX020,0,0,1,2458.0,0.4191670020852415,2548.0,0.14107687693770513
2,ScBTX021,0,0,2,1952.0,0.4354959752991374,1977.0,0.6422970794196312
3,ScBTX021,0,0,3,2091.0,0.4521880271545719,2132.0,0.6537119920581372
4,ScBTX020,0,0,4,2460.0,0.4222786403651478,2556.0,0.12726157085872536
5,ScBTX020,0,0,5,2404.0,0.4098455431601424,2512.0,0.12097221174810185
6,ScBTX021,0,0,6,1978.0,0.45632919456825655,2062.0,0.6601141836248929
7,ScBTX021,0,0,7,2056.0,0.4432634055950096,2132.0,0.6530990996438004
8,ScBTX020,0,0,8,2047.0,0.3923076231876229,2099.0,0.13294762574932778
9,ScBTX020,0,0,9,2524.0,0.39663311955252956,2608.0,0.13233659096740866
10,ScBTX021,0,0,10,2188.0,0.4726836931898864,2297.0,0.6664592180945377
11,ScBTX021,0,0,11,2245.0,0.45953979794713806,2289.0,0.6576569890148445
12,ScBTX020,0,0,12,2500.0,0.3824467426533347,2606.0,0.15556593369534952
13,ScBTX020,0,0,13,2462.0,0.37182136310120184,2559.0,0.14469061738104008
14,ScBTX021,0,0,14,2114.0,0.47006547835951035,2181.0,0.6687438028676033
15,ScBTX021,0,0,15,2150.0,0.4734385350663849,2242.0,0.670151629928878
16,ScBTX020,0,0,16,2527.0,0.36414844381672484,2641.0,0.16575023566353428
17,ScBTX020,0,0,17,2467.0,0.35896067378544816,2580.0,0.18402271249491264
18,ScBTX021,0,0,18,2013.0,0.4914357229657499,2082.0,0.6876881695971522
19,ScBTX021,0,0,19,2039.0,0.4990377056518564,2121.0,0.6913535336602217
20,ScBTX020,0,0,20,2081.0,0.3567187735798747,2190.0,0.19566296332297553
21,ScBTX020,0,0,21,2298.0,0.3630189490786882,2385.0,0.19726837179063098
22,ScBTX021,0,0,22,2111.0,0.504932072233662,2116.0,0.6944319639887194
23,ScBTX021,0,0,23,2061.0,0.4896303477571959,2135.0,0.6901777586188215
24,ScBTX020,0,1,0,2386.0,0.44169088150472935,2484.0,0.13029921887133358
25,ScBTX020,0,1,1,1986.0,0.43492653081316307,2094.0,0.12703571452206291
26,ScBTX021,0,1,2,1635.0,0.4490495347646016,1699.0,0.6419181158471592
27,ScBTX021,0,1,3,1719.0,0.461754402806229,1766.0,0.6438488977558742
28,ScBTX020,0,1,4,1940.0,0.4308916312263973,2010.0,0.12002509489340218
29,ScBTX020,0,1,5,1715.0,0.42654468595641587,1778.0,0.13848132056522075
30,ScBTX021,0,1,6,1663.0,0.4573900012968265,1721.0,0.6409094004374752
31,ScBTX021,0,1,7,1784.0,0.46069559985271213,1836.0,0.6498615612024963
32,ScBTX020,0,1,8,1795.0,0.41243910453353416,1839.0,0.13793949234837388
33,ScBTX020,0,1,9,1942.0,0.3979184212249068,2033.0,0.13830170950258788
34,ScBTX021,0,1,10,1727.0,0.48579355112379907,1793.0,0.6493097419525393
35,ScBTX021,0,1,11,1737.0,0.47774300789086555,1792.0,0.6477325142228602
36,ScBTX020,0,1,12,1787.0,0.39280530741583797,1834.0,0.13057146161052324
37,ScBTX020,0,1,13,1493.0,0.39194210434857396,1554.0,0.15238687751531857
38,ScBTX021,0,1,14,1618.0,0.4785691235411523,1674.0,0.6592860496682745
39,ScBTX021,0,1,15,1745.0,0.49540691051847147,1793.0,0.6656976857852148
40,ScBTX020,0,1,16,1786.0,0.3795968704286282,1871.0,0.14218757294327555
41,ScBTX020,0,1,17,1757.0,0.394064253924893,1833.0,0.1483577930726577
